model,temperature,qid,avg_similarity,std_similarity,min_similarity,stability_score
meta-llama/llama-3.2-1b-instruct,1.5,Q3,0.93025035,0.025166001,0.87156403,0.9050844
meta-llama/llama-3.2-1b-instruct,1.5,Q4,0.9965008,0.004948658,0.98950243,0.9915521
meta-llama/llama-3.2-1b-instruct,1.5,Q5,0.8913208,0.05313043,0.79127556,0.8381904
meta-llama/llama-3.2-1b-instruct,1.5,Q6,0.89943725,0.039806202,0.8129101,0.85963106
meta-llama/llama-3.2-1b-instruct,1.5,Q7,0.79074556,0.05872175,0.6941795,0.73202384
meta-llama/llama-3.2-1b-instruct,1.5,Q8,0.92604285,0.03280654,0.8656244,0.89323634
meta-llama/llama-3.2-1b-instruct,1.5,Q9,0.90148216,0.02660842,0.84742975,0.87487376
meta-llama/llama-3.2-1b-instruct,2.0,Q1,0.8816686,0.029413108,0.82812387,0.8522555
meta-llama/llama-3.2-1b-instruct,2.0,Q10,0.84405404,0.15679963,0.5950854,0.6872544
meta-llama/llama-3.2-1b-instruct,2.0,Q11,0.51229554,0.13823822,0.2816884,0.37405732
meta-llama/llama-3.2-1b-instruct,2.0,Q12,0.33776048,0.29479802,-0.03652523,0.04296246
meta-llama/llama-3.2-1b-instruct,2.0,Q13,0.58883,0.19028008,0.32519644,0.3985499
meta-llama/llama-3.2-1b-instruct,2.0,Q2,0.734861,0.15695556,0.49055627,0.5779055
meta-llama/llama-3.2-1b-instruct,2.0,Q3,0.92709076,0.030040307,0.87156403,0.89705044
meta-llama/llama-3.2-1b-instruct,2.0,Q4,0.9965008,0.004948658,0.98950243,0.9915521
meta-llama/llama-3.2-1b-instruct,2.0,Q5,0.85184896,0.061172504,0.70882434,0.7906765
meta-llama/llama-3.2-1b-instruct,2.0,Q6,0.8958329,0.04102677,0.81465685,0.8548061
meta-llama/llama-3.2-1b-instruct,2.0,Q7,0.7906849,0.057575736,0.7100568,0.7331091
meta-llama/llama-3.2-1b-instruct,2.0,Q8,0.91755074,0.031401496,0.8694075,0.8861492
meta-llama/llama-3.2-1b-instruct,2.0,Q9,0.8944912,0.03193506,0.8459139,0.86255616
